Value,State,Volume
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
536,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
535,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
534,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
533,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
532,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
531,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
530,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
529,"1,1",High
